Date,Category,Payment Mode,Description,Amount Paid,Cashback,Month
2023-01-28,Transportation,Online,Gas station refill,214.07,21.41,January
2023-01-31,Healthcare,Online,Health insurance premium,343.44,34.34,January
2023-01-13,Entertainment,Online,Movie theater ticket,344.27,34.43,January
2023-01-30,Entertainment,UPI,Bookstore purchase,335.1,16.76,January
2023-01-10,Subscriptions,Online,Disney Hotstar,83.48,8.35,January
2023-01-14,Food,Online,Pizza order,26.74,2.67,January
2023-01-30,Groceries,CardTransaction,Cooking Essentials,298.98,14.95,January
2023-01-08,Transportation,Cash,Train ticket to downtown,317.89,47.68,January
2023-01-05,Entertainment,UPI,Movie theater ticket,62.5,3.12,January
2023-01-09,Food,Cash,Bakery purchase,417.46,62.62,January
2023-01-06,Entertainment,Netbanking,Amusement park entry fee,477.07,23.85,January
2023-01-03,Healthcare,Netbanking,Health insurance premium,252.11,12.61,January
2023-01-23,Entertainment,Online,Streaming service subscription,330.48,33.05,January
2023-01-13,Healthcare,UPI,Dental clinic payment,227.15,11.36,January
2023-01-06,Bills,Online,Mobile phone bill,367.86,36.79,January
2023-01-26,Groceries,Netbanking,Snacks and Drinks,252.63,12.63,January
2023-01-04,Healthcare,UPI,Health insurance premium,24.84,1.24,January
2023-01-19,Groceries,CardTransaction,Dairy products,347.21,17.36,January
2023-01-28,Groceries,CardTransaction,Meat and fish,263.66,13.18,January
2023-01-20,Entertainment,Netbanking,Movie theater ticket,232.34,11.62,January
2023-01-03,Food,Netbanking,Dinner at Italian restaurant,224.08,11.2,January
2023-01-08,Groceries,CardTransaction,Dairy products,218.6,10.93,January
2023-01-29,Food,CardTransaction,Grocery shopping at local market,289.11,14.46,January
2023-01-05,Food,Online,Dinner at Italian restaurant,112.56,11.26,January
2023-01-24,Entertainment,Netbanking,Movie theater ticket,285.82,14.29,January
2023-01-01,Entertainment,Online,Amusement park entry fee,60.62,6.06,January
2023-01-27,Bills,UPI,Mobile phone bill,164.94,8.25,January
2023-01-27,Entertainment,UPI,Concert ticket purchase,442.65,22.13,January
2023-01-19,Groceries,CardTransaction,Dairy products,182.89,9.14,January
2023-01-21,Groceries,Netbanking,Kitchen items,441.28,22.06,January
2023-01-14,Healthcare,CardTransaction,Pharmacy medication purchase,61.36,3.07,January
2023-01-24,Healthcare,Netbanking,Pharmacy medication purchase,456.39,22.82,January
2023-01-16,Healthcare,UPI,Dental clinic payment,345.53,17.28,January
2023-01-31,Transportation,Online,Train ticket to downtown,270.93,27.09,January
2023-01-29,Entertainment,CardTransaction,Movie theater ticket,33.21,1.66,January
2023-01-12,Entertainment,UPI,Movie theater ticket,291.93,14.6,January
2023-01-07,Transportation,CardTransaction,Train ticket to downtown,452.09,22.6,January
2023-01-21,Healthcare,Cash,Optician eyewear purchase,409.46,61.42,January
2023-01-30,Food,Cash,Pizza order,327.5,49.12,January
2023-01-04,Healthcare,Netbanking,Pharmacy medication purchase,348.68,17.43,January
2023-01-02,Transportation,Cash,Ride-sharing service payment,423.11,63.47,January
2023-01-21,Food,UPI,Pizza order,291.4,14.57,January
